,id,city,country,latitude,longitude,curr_weather,temperature,min_temperature,max_temperature,pressure,humidity%,visibility,cloudiness,wind_speed
372,4944903,nantucket,Nantucket,41.2835,-70.0995,Clouds,29.68,27.97,30.96,1031,76,10000,100,8.57
373,2146219,hervey bay,Hervey Bay,-25.2986,152.8535,Rain,76.03,75.31,76.03,1006,95,7621,100,11.45
374,3193160,pljevlja,Pljevlja,43.3333,19.3333,Clouds,29.79,29.79,29.79,1024,66,10000,51,3.56
375,583683,aksarayskiy,Aksarayskiy,46.7924,48.0119,Clouds,33.75,33.75,33.75,1024,66,10000,92,7.87
376,1273403,datia,Datia,25.6667,78.4667,Clouds,61.9,61.9,61.9,1015,62,10000,18,4.36
377,1788852,xining,Xining,36.6167,101.7667,Clouds,18.93,18.93,18.93,1028,46,10000,19,3.89
378,2522325,aguimes,Agüimes,27.9054,-15.4461,Clouds,61.14,60.85,61.66,1017,68,10000,20,16.11
379,6145563,shawville,Shawville,45.6001,-76.4827,Clear,14.49,12.61,15.53,1036,81,10000,7,3.87
380,2644605,lerwick,Lerwick,60.1545,-1.1494,Clouds,39.49,39.49,39.49,992,64,10000,93,19.17
381,1259638,pindwara,Pindwāra,24.8,73.0667,Clear,64.53,64.53,64.53,1015,30,10000,3,2.86
382,3470821,barra,Barra,-11.0894,-43.1417,Clouds,81.52,81.52,81.52,1010,52,10000,50,2.53
383,2396853,omboue,Omboué,-1.5746,9.2618,Clouds,79.79,79.79,79.79,1011,83,10000,97,2.42
384,2523192,scicli,Scicli,36.7902,14.7014,Clouds,38.75,38.75,48.6,1023,74,10000,100,5.32
385,2210247,tripoli,Tripoli,32.8752,13.1875,Clouds,55.08,55.08,55.08,1024,64,10000,25,4.32
386,236950,obo,Obo,5.3998,26.4869,Clouds,75.94,75.94,75.94,1010,19,10000,96,5.08
387,5803990,moses lake,Moses Lake,47.1301,-119.2781,Clear,27.19,23.61,29.61,1031,59,10000,0,3.44
388,759320,siemiatycze,Siemiatycze,52.4272,22.8623,Clouds,37.31,37.31,37.31,1013,73,10000,100,16.62
389,5942913,dryden,Dryden,49.7833,-92.7503,Clear,3.49,3.49,3.49,1030,51,10000,0,9.22
390,3361934,saldanha,Saldanha,-33.0117,17.9442,Clear,64.45,64.45,64.45,1015,94,10000,3,17.45
391,2331447,maiduguri,Maiduguri,11.8464,13.1603,Clouds,71.91,71.91,71.91,1013,16,10000,12,9.48
392,1789945,xiaoweizhai,Xiaoweizhai,26.1903,107.5125,Clouds,40.19,40.19,40.19,1026,86,10000,79,2.26
393,3430105,paso de patria,Paso de Patria,-27.2454,-58.5454,Rain,86.05,84.18,86.05,1004,31,10000,63,12.75
394,3401148,cururupu,Cururupu,-1.8283,-44.8683,Clouds,75.78,75.78,75.78,1010,94,10000,70,3.94
395,296852,erzin,Erzin,36.9559,36.2,Rain,52.52,52.52,54.12,1009,91,7256,100,3.02
396,2701713,karlskrona,Karlskrona,56.1616,15.5866,Rain,41.45,41.45,41.45,994,90,10000,100,21.83
397,1497210,novoagansk,Novoagansk,61.9449,76.6625,Clouds,22.15,22.15,22.15,1003,98,519,94,6.76
